schema_version,election_process_code,election_year,election_level,office_code,office_name,country_code,country_name,region_ubigeo,region_name,province_ubigeo,province_name,district_ubigeo,district_name,scope_uid,organization_uid,jne_organization_id,organization_name,organization_abbreviation,organization_type,party_logo_url,party_logo_local_path,organization_profile_url,candidate_uid,jne_candidate_id,candidate_full_name,candidate_age,candidate_photo_url,candidate_photo_local_path,candidate_profile_url,candidacy_uid,candidacy_status,ballot_order,source_system,source_file,source_row,source_url,retrieved_at,data_quality_status,notes,legacy_party_logo_url
1.0,ERM2026,2026,REGIONAL,GOBERNADOR_REGIONAL,GOBERNADOR REGIONAL,PE,PERU,,CALLAO,,,,,SCP-C6DBAB3272F7837D1469,ORG-JNE-2901,2901,FRENTE POPULAR AGRICOLA FIA DEL PERU,,,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2901,,,CAN-46B3000E945395328358,,CINTHYA ISELA CAMASCA ZAMUDIO,43,https://mpesije.jne.gob.pe/apidocs/15b3e845-be23-47d4-8b5b-fa6bb17b2dbb.jpg,,,CAD-A0F06A9C29E153E722B7,ADMITIDO,,JNE,CONSOLIDADO CALLAO - CALLAO - REGIONAL.csv,3,,,CORE_COMPLETE,,https://sipes.jne.gob.pe/documentos/logotipo/2901.jpg
1.0,ERM2026,2026,REGIONAL,GOBERNADOR_REGIONAL,GOBERNADOR REGIONAL,PE,PERU,,CALLAO,,,,,SCP-C6DBAB3272F7837D1469,ORG-JNE-4,4,ACCION POPULAR,,,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/4,,,CAN-ADA235AFED6EFA5FBEB0,,DANTE JOSE MANDRIOTTI CASTRO,79,https://mpesije.jne.gob.pe/apidocs/1ec143eb-1fc3-46f0-b9f5-bd32c9367d9f.jpg,,,CAD-69A90DA2C6F1345774B4,ADMITIDO,,JNE,CONSOLIDADO CALLAO - CALLAO - REGIONAL.csv,1,,,CORE_COMPLETE,,https://sipes.jne.gob.pe/documentos/logotipo/4.jpg
1.0,ERM2026,2026,REGIONAL,GOBERNADOR_REGIONAL,GOBERNADOR REGIONAL,PE,PERU,,CALLAO,,,,,SCP-C6DBAB3272F7837D1469,ORG-JNE-14,14,PARTIDO DEMOCRATICO SOMOS PERU,,,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/14,,,CAN-E8C7499151A7ABCF5242,,ISMAEL ALBERTO PAREDES AVALOS,74,https://mpesije.jne.gob.pe/apidocs/57dee9c0-f943-48bf-a5ef-95437fe16cee.jpg,,,CAD-E37B20CEFF3988DD472B,ADMITIDO,,JNE,CONSOLIDADO CALLAO - CALLAO - REGIONAL.csv,5,,,CORE_COMPLETE,,https://sipes.jne.gob.pe/documentos/logotipo/14.jpg
1.0,ERM2026,2026,REGIONAL,GOBERNADOR_REGIONAL,GOBERNADOR REGIONAL,PE,PERU,,CALLAO,,,,,SCP-C6DBAB3272F7837D1469,ORG-JNE-2943,2943,PARTIDO POPULAR CRISTIANO - PPC,,,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2943,,,CAN-5828BFE8497160CB7165,,JOSE REMIGIO SOSA DULANTO BADIOLA,67,https://mpesije.jne.gob.pe/apidocs/60ddad7e-ab31-40f2-8857-87a48f60a6db.jpg,,,CAD-338D997A8BA11FB84731,ADMITIDO,,JNE,CONSOLIDADO CALLAO - CALLAO - REGIONAL.csv,6,,,CORE_COMPLETE,,https://sipes.jne.gob.pe/documentos/logotipo/2943.jpg
1.0,ERM2026,2026,REGIONAL,GOBERNADOR_REGIONAL,GOBERNADOR REGIONAL,PE,PERU,,CALLAO,,,,,SCP-C6DBAB3272F7837D1469,ORG-JNE-2931,2931,"PRIMERO LA GENTE - COMUNIDAD, ECOLOGIA, LIBERTAD Y PROGRESO",,,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2931,,,CAN-6EFE390DB60BC99FB369,,LIZANDRA GLADYS ZUÑIGA BERMUDEZ,32,https://mpesije.jne.gob.pe/apidocs/86740265-ae17-4fd8-bfc1-cf9e8c0ee0a1.jpg,,,CAD-1DC1F29E281DA3536607,IMPROCEDENTE,,JNE,CONSOLIDADO CALLAO - CALLAO - REGIONAL.csv,7,,,CORE_COMPLETE,,https://sipes.jne.gob.pe/documentos/logotipo/2931.jpg
1.0,ERM2026,2026,REGIONAL,GOBERNADOR_REGIONAL,GOBERNADOR REGIONAL,PE,PERU,,CALLAO,,,,,SCP-C6DBAB3272F7837D1469,ORG-JNE-1366,1366,FUERZA POPULAR,,,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/1366,,,CAN-A09872EF9243A8C1BE2D,,MIGUEL FRANCISCO CORDANO RODRIGUEZ,80,https://mpesije.jne.gob.pe/apidocs/b84b3d99-1008-49c8-be6c-a6633902c039.jpg,,,CAD-AE5DCBCE91B889A23296,INADMISIBLE,,JNE,CONSOLIDADO CALLAO - CALLAO - REGIONAL.csv,4,,,CORE_COMPLETE,,https://sipes.jne.gob.pe/documentos/logotipo/1366.jpg
1.0,ERM2026,2026,REGIONAL,GOBERNADOR_REGIONAL,GOBERNADOR REGIONAL,PE,PERU,,CALLAO,,,,,SCP-C6DBAB3272F7837D1469,ORG-JNE-3040,3040,RENOVACION POPULAR PERU,,,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/3040,,,CAN-E31D3CAD0C158EE4F8E3,,PEDRO CARMELO SPADARO PHILIPPS,49,https://mpesije.jne.gob.pe/apidocs/0a4869bf-07ea-4206-8ec7-ebaf6f6b0773.jpg,,,CAD-9A5835DCEF9348F80238,ADMITIDO,,JNE,CONSOLIDADO CALLAO - CALLAO - REGIONAL.csv,8,,,CORE_COMPLETE,,https://sipes.jne.gob.pe/documentos/logotipo/3040.jpg
1.0,ERM2026,2026,REGIONAL,GOBERNADOR_REGIONAL,GOBERNADOR REGIONAL,PE,PERU,,CALLAO,,,,,SCP-C6DBAB3272F7837D1469,ORG-JNE-2982,2982,COALICION TRANSFORMADORA TIERRA VERDE,,,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2982,,,CAN-A9DC3067081DEFD536AE,,RAFAEL SEBASTIAN YANCAN MAYO,57,https://mpesije.jne.gob.pe/apidocs/486e7752-3bd8-47c0-9b5a-a741dd93ff88.jpg,,,CAD-4911905C68F6DE0CA650,IMPROCEDENTE,,JNE,CONSOLIDADO CALLAO - CALLAO - REGIONAL.csv,2,,,CORE_COMPLETE,,https://sipes.jne.gob.pe/documentos/logotipo/2982.jpg
1.0,ERM2026,2026,PROVINCIAL,ALCALDE_PROVINCIAL,ALCALDE PROVINCIAL,PE,PERU,,LIMA,,LIMA,,,SCP-076B5DB74DF08F034E5C,ORG-JNE-4,4,ACCION POPULAR,,,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/4,,,CAN-9DDD80AA8EE6321C4EB7,,CARLOS ALBERTO TEJADA NORIEGA,69,,,,CAD-FCA768E6CA30E89D4236,ADMITIDO,,JNE,consolidado lima - LIMA (Metropolitana) - PROVINCIAL.csv,1,,,PARTIAL:candidate_photo,,https://sipes.jne.gob.pe/documentos/logotipo/4.jpg
1.0,ERM2026,2026,PROVINCIAL,ALCALDE_PROVINCIAL,ALCALDE PROVINCIAL,PE,PERU,,LIMA,,LIMA,,,SCP-076B5DB74DF08F034E5C,ORG-JNE-14,14,PARTIDO DEMOCRATICO SOMOS PERU,,,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/14,,,CAN-B9A449C576F06E903786,,CARLOS RICARDO BRUCE MONTES DE OCA,69,,,,CAD-10E0DA1566401BE4CB1C,INADMISIBLE,,JNE,consolidado lima - LIMA (Metropolitana) - PROVINCIAL.csv,12,,,PARTIAL:candidate_photo,,https://sipes.jne.gob.pe/documentos/logotipo/14.jpg
