Nivel de Eleccion,Cargo,Provincia,Distrito,Organizacion politica,Link Logo Partido,Link Foto Candidato,Candidato,Edad,Estado
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,ACCION POPULAR,https://sipes.jne.gob.pe/documentos/logotipo/4.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/4,CARLOS ALBERTO TEJADA NORIEGA,69,ADMITIDO
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,AHORA NACION - AN,https://sipes.jne.gob.pe/documentos/logotipo/2980.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2980,SUSEL ANA MARIA PAREDES PIQUE,62,INADMISIBLE
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,https://sipes.jne.gob.pe/documentos/logotipo/2173.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2173,FRANCIS JAMES ALLISON OYAGUE,56,INADMISIBLE
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,BATALLA PERU,https://sipes.jne.gob.pe/documentos/logotipo/2984.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2984,SAMIR FRANK QUISPE CABALLERO,34,RECIBIDO
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,COALICION TRANSFORMADORA TIERRA VERDE,https://sipes.jne.gob.pe/documentos/logotipo/2982.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2982,YEHUDE SIMON MUNARO,79,INADMISIBLE
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,FRENTE POPULAR AGRICOLA FIA DEL PERU,https://sipes.jne.gob.pe/documentos/logotipo/2901.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2901,SEGUNDO VALDEZ ZAVALA,45,INADMISIBLE
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,FUERZA CIUDADANA,https://sipes.jne.gob.pe/documentos/logotipo/3009.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/3009,RUBEN DANIEL BONILLA ESPINOZA,64,INADMISIBLE
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,FUERZA POPULAR,https://sipes.jne.gob.pe/documentos/logotipo/1366.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/1366,SAMUEL MARCOS DAZA TAYPE,53,RECIBIDO
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,JUNTOS POR EL PERU,https://sipes.jne.gob.pe/documentos/logotipo/1264.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/1264,OSWALDO HERNAN VARGAS CUELLAR,58,INADMISIBLE
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,PARTIDO CIVICO OBRAS,https://sipes.jne.gob.pe/documentos/logotipo/2941.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2941,RICARDO PABLO BELMONT CASSINELLI,80,ADMITIDO
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,PARTIDO DEMOCRATA VERDE,https://sipes.jne.gob.pe/documentos/logotipo/2895.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2895,FLOR DE MARIA HURTADO VALDEZ,59,INADMISIBLE
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,PARTIDO DEMOCRATICO SOMOS PERU,https://sipes.jne.gob.pe/documentos/logotipo/14.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/14,CARLOS RICARDO BRUCE MONTES DE OCA,69,INADMISIBLE
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,PARTIDO FRENTE DE LA ESPERANZA 2021,https://sipes.jne.gob.pe/documentos/logotipo/2857.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2857,ELIZABETH MARIA DEL ROSARIO LEON CHINCHAY,60,ADMITIDO
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,PARTIDO MORADO,https://sipes.jne.gob.pe/documentos/logotipo/2840.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2840,VICTORIA BETZABE LA CRUZ GARCES,64,INADMISIBLE
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,PARTIDO PATRIOTICO DEL PERU,https://sipes.jne.gob.pe/documentos/logotipo/2869.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2869,SANDRO CALLER GUTIERREZ,51,ADMITIDO
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,PARTIDO POLITICO INTEGRIDAD DEMOCRATICA,https://sipes.jne.gob.pe/documentos/logotipo/2985.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2985,JESSICA VIVIANA LINARES ROMERO,55,IMPROCEDENTE
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,PARTIDO POLITICO NACIONAL PERU LIBRE,https://sipes.jne.gob.pe/documentos/logotipo/2218.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2218,RUBEN JOSE RAMIREZ MATEO,60,INADMISIBLE
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,PARTIDO POLITICO PUEBLO CONSCIENTE,https://sipes.jne.gob.pe/documentos/logotipo/3001.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/3001,LUIS ALBERTO HUETTE TOLENTINO,65,INADMISIBLE
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,PARTIDO POPULAR CRISTIANO - PPC,https://sipes.jne.gob.pe/documentos/logotipo/2943.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2943,EDGARDO RENAN DE POMAR VIZCARRA,64,INADMISIBLE
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,PODEMOS PERU,https://sipes.jne.gob.pe/documentos/logotipo/2731.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2731,DANIEL BELIZARIO URRESTI ELERA,69,INADMISIBLE
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,RENOVACION POPULAR PERU,https://sipes.jne.gob.pe/documentos/logotipo/3040.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/3040,LUIS ISAEL RUBIO IDROGO,73,ADMITIDO
MUNICIPAL PROVINCIAL,ALCALDE PROVINCIAL,LIMA,SIN_DISTRITO,VISION PERU,https://sipes.jne.gob.pe/documentos/logotipo/2988.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2988,SANTIAGO ROSENDO ABARCA LEON,60,INADMISIBLE
